"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Summon: Bahamut","","M","3876","1.41","2660","1.39","14113","88.8%","54.6%","2298","51.5%","3863","59.8%","6161","56.7%","7779","52.6%","4.2pp"
"Ultima, Origin of Oblivion","","R","12898","2.25","3886","2.36","20247","88.5%","53.0%","3337","51.0%","5251","54.7%","8588","53.2%","11574","52.6%","0.7pp"
"Adelbert Steiner","W","U","51942","3.29","13837","3.84","74371","87.3%","57.0%","13424","58.4%","17216","57.8%","30640","58.1%","43652","56.4%","1.7pp"
"Aerith Gainsborough","W","R","12954","2.27","4136","2.43","20455","83.1%","54.5%","3631","55.9%","4948","55.4%","8579","55.6%","11849","53.6%","2.0pp"
"Aerith Rescue Mission","W","C","254995","6.75","31963","9.65","71827","37.3%","54.4%","11998","51.3%","16576","55.6%","28574","53.8%","43122","54.8%","-1.0pp"
"Ambrosia Whiteheart","W","U","57807","3.53","13828","4.30","73581","87.3%","56.0%","13184","56.5%","16978","56.4%","30162","56.4%","42989","55.7%","0.7pp"
"Ashe, Princess of Dalmasca","W","U","67520","4.31","11342","5.63","51198","75.0%","55.3%","9172","55.4%","11783","53.8%","20955","54.5%","30174","55.8%","-1.3pp"
"Auron's Inspiration","W","U","100082","6.99","12230","10.00","18895","25.8%","53.9%","3177","50.8%","4220","51.5%","7397","51.2%","11484","55.7%","-4.5pp"
"Battle Menu","W","U","54013","3.26","14522","3.92","79499","89.2%","56.8%","14172","57.2%","18695","59.0%","32867","58.2%","46408","55.8%","2.4pp"
"Cloud, Midgar Mercenary","W","M","5205","1.85","2389","1.80","11964","81.8%","56.5%","2136","58.9%","2848","57.6%","4984","58.1%","6951","55.3%","2.8pp"
"Cloudbound Moogle","W","C","261792","7.04","27448","10.50","42596","25.8%","53.1%","7385","49.7%","10105","53.5%","17490","51.9%","25012","53.9%","-2.1pp"
"Coeurl","W","C","257130","6.84","30094","9.95","70517","38.8%","54.4%","12793","53.4%","15967","53.4%","28760","53.4%","41623","55.1%","-1.6pp"
