"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Il Mheg Pixie","U","U","45663","3.48","16122","4.01","89710","91.1%","56.3%","16188","58.8%","24337","57.9%","40525","58.3%","48558","54.6%","3.7pp"
"Jill, Shiva's Dominant","U","R","7919","1.73","5595","1.73","32484","94.1%","58.0%","5681","61.7%","8988","64.2%","14669","63.2%","17375","53.5%","9.7pp"
"Louisoix's Sacrifice","U","R","29377","5.89","3723","8.84","2765","12.3%","49.2%","444","","763","50.7%","1207","49.3%","1549","48.9%","0.4pp"
"The Lunar Whale","U","R","9744","2.09","6152","2.12","34872","93.3%","56.3%","5912","58.8%","9526","59.8%","15438","59.4%","19084","53.6%","5.8pp"
"Magic Damper","U","C","216905","7.61","30736","10.74","50302","27.1%","54.3%","8410","53.5%","13570","57.0%","21980","55.6%","28083","53.1%","2.5pp"
"Matoya, Archon Elder","U","R","21073","4.31","3870","5.55","9482","41.7%","51.0%","1676","50.0%","2642","52.0%","4318","51.2%","5100","50.6%","0.6pp"
"Memories Returning","U","R","13131","2.78","6421","2.86","34892","88.8%","56.9%","5951","56.9%","9572","62.0%","15523","60.1%","19131","54.2%","5.9pp"
"The Prima Vista","U","U","80043","6.95","10582","9.95","16099","25.5%","51.5%","2700","49.1%","4458","51.9%","7158","50.9%","8865","52.0%","-1.2pp"
"Qiqirn Merchant","U","C","215930","7.52","32079","10.55","62054","32.3%","52.3%","10783","50.0%","16997","54.0%","27780","52.4%","33966","52.2%","0.2pp"
"Quistis Trepe","U","U","50902","3.89","14355","4.71","73865","85.0%","55.1%","12507","51.7%","20383","59.2%","32890","56.4%","40152","53.9%","2.5pp"
"Relm's Sketching","U","U","55724","4.31","12842","5.41","59860","77.7%","54.4%","9847","51.4%","16716","58.4%","26563","55.8%","32708","53.0%","2.7pp"
"Retrieve the Esper","U","C","183246","5.55","35569","7.50","157257","73.5%","54.8%","26637","53.2%","42968","57.3%","69605","55.7%","86846","54.1%","1.6pp"
"Rook Turret","U","C","205499","6.86","27248","9.88","60763","37.5%","51.9%","10300","50.5%","15820","53.2%","26120","52.2%","34234","51.5%","0.7pp"
"Sage's Nouliths","U","C","207362","6.89","30156","9.79","74902","41.5%","53.3%","13319","52.7%","19028","53.7%","32347","53.3%","41444","53.2%","0.0pp"
"Sahagin","U","C","183037","5.90","42531","7.24","195472","75.1%","56.6%","34621","58.5%","54120","57.9%","88741","58.1%","105465","55.2%","2.9pp"
"Scorpion Sentinel","U","C","199352","6.36","36224","8.62","145801","66.5%","55.1%","26042","55.0%","39389","56.5%","65431","55.9%","78155","54.4%","1.5pp"
"Sidequest: Card Collection","U","U","72962","5.96","14637","7.65","52143","58.7%","56.6%","8962","55.1%","14662","61.7%","23624","59.2%","28073","54.4%","4.8pp"
"Sleep Magic","U","U","51607","3.93","15271","4.66","82546","88.1%","56.6%","14186","56.2%","22619","60.4%","36805","58.8%","44928","54.7%","4.1pp"
"Stolen Uniform","U","U","88120","8.56","10497","12.28","584","0.9%","41.8%","95","","155","","250","","331","",""
"Stuck in Summoner's Sanctum","U","C","163048","4.72","33670","6.36","166226","82.2%","54.7%","28374","51.8%","45751","57.8%","74125","55.5%","90571","53.9%","1.6pp"
