"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Coliseum Behemoth","G","U","51446","4.00","12125","4.84","61890","83.9%","56.0%","10208","54.8%","15539","60.6%","25747","58.3%","35650","54.1%","4.2pp"
"Commune with Beavers","G","C","212816","7.44","24787","10.82","40735","27.5%","53.6%","7305","53.5%","9570","54.3%","16875","54.0%","23696","53.2%","0.8pp"
"Diamond Weapon","G","U","49872","3.96","9012","5.10","41347","77.2%","54.2%","6718","50.6%","10493","57.3%","17211","54.7%","23636","53.7%","1.0pp"
"The Earth Crystal","G","R","16920","3.58","2828","4.47","9438","58.9%","49.8%","1550","44.8%","2245","51.2%","3795","48.6%","5547","50.3%","-1.7pp"
"Esper Origins","G","R","9714","2.10","5106","2.11","28626","88.4%","59.3%","5156","63.2%","6842","64.6%","11998","64.0%","16519","55.9%","8.1pp"
"Galuf's Final Act","G","U","79331","6.96","8059","10.58","7570","15.9%","49.6%","1294","42.9%","1703","47.3%","2997","45.4%","4563","52.1%","-6.7pp"
"Gigantoad","G","C","202524","6.51","24816","9.46","76920","52.0%","53.0%","12961","51.6%","18820","54.6%","31781","53.4%","44701","52.6%","0.7pp"
"Goobbue Gardener","G","C","162609","4.82","28094","6.48","141718","84.1%","55.0%","25846","57.2%","33359","54.0%","59205","55.4%","81851","54.7%","0.7pp"
"Gran Pulse Ochu","G","C","193237","6.04","26273","8.59","106409","67.2%","54.9%","19195","55.5%","25840","55.4%","45035","55.4%","60609","54.5%","0.9pp"
"Gysahl Greens","G","C","178009","5.42","25085","7.67","107692","71.7%","54.2%","19342","54.2%","24767","53.9%","44109","54.0%","63346","54.2%","-0.2pp"
"Jumbo Cactuar","G","R","16714","3.57","2530","4.62","8162","55.3%","50.3%","1320","46.6%","1928","51.1%","3248","49.3%","4896","50.8%","-1.5pp"
"Loporrit Scout","G","C","219699","8.15","23481","11.85","20799","14.9%","50.8%","3690","49.4%","4679","47.9%","8369","48.5%","12360","52.2%","-3.7pp"
"Prishe's Wanderings","G","C","178166","5.46","25509","7.73","106233","69.6%","53.7%","18575","53.9%","25661","54.8%","44236","54.4%","61609","53.1%","1.3pp"
"Quina, Qu Gourmet","G","U","59747","4.75","9206","6.39","35431","64.8%","53.1%","6140","53.2%","8185","51.7%","14325","52.4%","20951","53.7%","-1.3pp"
"Reach the Horizon","G","U","61927","4.97","8642","6.92","32592","63.8%","52.5%","5724","53.1%","8052","53.3%","13776","53.2%","18673","52.0%","1.2pp"
"A Realm Reborn","G","R","31311","6.35","3662","9.78","176","0.8%","","44","","38","","82","","95","",""
"Ride the Shoopuf","G","U","49021","3.92","7749","5.18","34520","75.7%","53.4%","6129","56.5%","8039","54.0%","14168","55.1%","20249","52.2%","2.9pp"
"Rydia's Return","G","U","74639","6.03","9817","8.64","27625","47.3%","53.0%","4533","49.5%","6765","55.3%","11298","53.0%","16175","52.8%","0.2pp"
"Sazh Katzroy","G","R","7731","1.72","4955","1.69","28308","91.6%","58.1%","4872","66.1%","7075","62.8%","11947","64.2%","16076","53.5%","10.7pp"
"Sazh's Chocobo","G","U","35012","2.74","11383","3.11","63013","89.9%","56.8%","11530","66.4%","14669","54.5%","26199","59.7%","35804","54.5%","5.2pp"
"Sidequest: Raise a Chocobo","G","U","53720","4.21","8706","5.54","37797","73.1%","53.6%","6794","54.1%","8655","53.2%","15449","53.6%","22241","53.6%","-0.0pp"
"Summon: Fat Chocobo","G","C","147925","4.32","30796","5.58","160124","85.4%","55.7%","26591","56.1%","38915","58.8%","65506","57.7%","90842","53.8%","3.9pp"
"Summon: Fenrir","G","U","31453","2.50","13604","2.73","76958","91.6%","57.2%","13661","63.9%","19061","58.8%","32722","60.9%","43407","54.3%","6.6pp"
"Summon: Titan","G","R","8678","1.87","4726","1.85","25992","89.7%","56.1%","4460","57.2%","6549","60.8%","11009","59.3%","14742","53.6%","5.8pp"
"Summoner's Grimoire","G","R","16409","3.56","2370","4.75","6819","49.2%","51.1%","1177","51.1%","1643","52.0%","2820","51.6%","3931","50.5%","1.1pp"
"Tifa Lockhart","G","R","15215","3.24","2302","4.16","8060","60.5%","50.3%","1512","50.3%","1843","48.7%","3355","49.4%","4669","51.1%","-1.6pp"
"Tifa's Limit Break","G","U","71277","5.72","8576","8.43","23939","47.1%","53.0%","3863","50.5%","5659","55.0%","9522","53.2%","14344","52.8%","0.4pp"
"Torgal, A Fine Hound","G","U","36109","2.85","13156","3.19","72404","90.3%","56.1%","13321","61.8%","17417","56.0%","30738","58.5%","41169","54.4%","4.1pp"
"Town Greeter","G","C","173416","5.31","37174","6.64","182999","80.2%","56.8%","33431","59.0%","44214","58.3%","77645","58.6%","104096","55.5%","3.2pp"
"Traveling Chocobo","G","M","3604","1.62","2028","1.56","10661","86.5%","56.0%","1939","57.0%","2509","61.5%","4448","59.5%","5931","53.1%","6.4pp"
"Vanille, Cheerful l'Cie","G","U","45100","3.56","14460","4.05","75587","86.0%","56.5%","12898","55.8%","18907","60.6%","31805","58.7%","42679","54.7%","4.0pp"
"Absolute Virtue","WU","M","6096","2.72","1757","2.95","7112","66.8%","54.0%","1138","51.9%","1883","61.9%","3021","58.2%","4042","50.7%","7.4pp"
"Balthier and Fran","RG","R","24032","4.96","3324","7.09","5742","29.3%","52.6%","1010","55.8%","1332","51.9%","2342","53.6%","3387","51.8%","1.8pp"
"Black Waltz No. 3","BR","U","59871","4.97","8877","6.82","30210","57.9%","52.1%","5124","50.1%","7693","53.2%","12817","51.9%","17156","52.0%","-0.1pp"
"Choco, Seeker of Paradise","WUG","R","16364","3.53","3617","4.09","12317","58.3%","52.6%","2059","55.2%","2997","53.9%","5056","54.4%","6963","50.7%","3.7pp"
"Cid, Timeless Artificer","WU","U","65694","5.50","11558","7.16","39256","56.6%","54.5%","6797","53.9%","9762","56.1%","16559","55.2%","22621","54.0%","1.2pp"
"Cloud of Darkness","BG","U","51500","4.12","15108","4.61","75460","81.0%","57.3%","12542","56.7%","19164","62.6%","31706","60.2%","42195","55.0%","5.2pp"
"Emet-Selch, Unsundered","UB","M","4923","2.20","2282","2.22","10840","80.5%","54.2%","1840","58.0%","3040","59.2%","4880","58.8%","5783","50.3%","8.5pp"
"The Emperor of Palamecia","UR","U","55230","4.69","14294","5.29","62147","71.6%","56.6%","10950","60.8%","17430","58.0%","28380","59.1%","33395","54.4%","4.7pp"
"Exdeath, Void Warlock","BG","U","61331","4.87","11976","6.25","52298","72.2%","56.2%","9044","55.7%","12813","59.7%","21857","58.0%","29594","54.7%","3.3pp"
"Garland, Knight of Cornelia","BR","U","60392","4.99","10966","6.35","38470","58.5%","54.6%","6736","57.4%","9502","56.2%","16238","56.7%","22062","53.1%","3.7pp"
"Garnet, Princess of Alexandria","WG","U","66699","5.61","9521","7.56","28365","49.7%","54.4%","5099","56.7%","6309","53.8%","11408","55.1%","16842","53.9%","1.2pp"
"Giott, King of the Dwarves","WR","U","68794","5.87","10546","7.71","33696","53.1%","56.2%","5914","57.7%","7403","54.9%","13317","56.2%","20389","56.2%","-0.0pp"
"Gladiolus Amicitia","RG","U","56599","4.62","11004","5.84","44999","68.1%","54.3%","7494","53.9%","11239","59.8%","18733","57.4%","26020","51.9%","5.5pp"
"Golbez, Crystal Collector","UB","R","20260","4.30","3581","5.58","9237","44.5%","49.2%","1604","49.3%","2488","51.5%","4092","50.7%","5096","48.0%","2.7pp"
"Hope Estheim","WU","R","22879","4.83","3329","6.78","7344","37.6%","50.2%","1322","50.8%","1870","51.4%","3192","51.2%","4137","49.5%","1.7pp"
"Ignis Scientia","UG","U","59150","4.80","14474","5.73","61319","70.1%","55.3%","10823","58.5%","16321","58.8%","27144","58.7%","33614","52.5%","6.2pp"
"Jenova, Ancient Calamity","BG","R","9590","2.17","5236","2.13","28167","88.2%","56.0%","4882","60.6%","7167","61.4%","12049","61.1%","15661","52.0%","9.1pp"
"Joshua, Phoenix's Dominant","WR","R","10219","2.35","4465","2.33","21883","81.3%","55.3%","3906","57.6%","5341","58.3%","9247","58.0%","12607","53.3%","4.7pp"
"Judge Magister Gabranth","WB","U","65509","5.42","9725","7.35","32991","56.3%","55.4%","5664","56.6%","7872","55.6%","13536","56.0%","19269","55.0%","1.1pp"
"Kefka, Court Mage","UBR","M","4903","2.16","2506","2.09","12400","82.3%","55.5%","2084","60.3%","3580","62.7%","5664","61.8%","6559","49.8%","12.1pp"
"Kuja, Genome Sorcerer","BR","R","9178","2.14","4905","2.02","26092","86.3%","56.6%","4354","62.9%","6988","62.1%","11342","62.4%","14425","52.0%","10.4pp"
"Lightning, Army of One","WR","M","4298","1.93","1868","1.86","8494","75.1%","55.0%","1546","55.0%","2050","58.1%","3596","56.8%","4897","53.6%","3.2pp"
"Locke Cole","UB","U","59536","4.70","12667","5.91","53946","70.7%","54.8%","9268","57.0%","15188","58.1%","24456","57.7%","28802","52.3%","5.4pp"
"Noctis, Prince of Lucis","WUB","R","22008","4.51","3202","6.28","5366","29.1%","47.5%","920","45.2%","1474","50.1%","2394","48.2%","2938","46.6%","1.6pp"
"Omega, Heartless Evolution","UG","U","66661","5.33","14422","6.71","55322","64.0%","55.2%","9182","53.7%","15438","61.1%","24620","58.3%","30061","52.3%","6.0pp"
"Rinoa Heartilly","WG","U","61456","4.95","10978","6.33","41594","62.6%","55.0%","7000","56.4%","9705","57.6%","16705","57.1%","24688","53.5%","3.6pp"
"Rufus Shinra","WB","U","66997","5.48","10048","7.53","31073","51.7%","55.1%","5316","57.7%","7521","55.5%","12837","56.4%","18040","54.2%","2.3pp"
"Rydia, Summoner of Mist","RG","U","68348","5.82","9689","7.93","24866","43.3%","53.0%","4369","54.4%","5933","53.1%","10302","53.7%","14502","52.4%","1.2pp"
"Serah Farron","WG","R","20048","4.26","2974","5.85","6844","39.3%","50.5%","1132","46.6%","1637","50.4%","2769","48.8%","4026","51.3%","-2.5pp"
"Shantotto, Tactician Magician","UR","U","54290","4.61","15304","5.05","68700","73.6%","56.7%","11923","59.5%","19458","59.0%","31381","59.2%","36894","54.5%","4.7pp"
"Sin, Spira's Punishment","UBG","R","11201","2.56","5347","2.53","27278","85.3%","54.9%","4580","55.4%","7732","61.2%","12312","59.0%","14522","51.1%","7.9pp"
"Squall, SeeD Mercenary","WB","R","10612","2.40","4119","2.41","19359","77.4%","55.4%","3361","58.3%","4757","59.3%","8118","58.9%","11103","52.7%","6.1pp"
"Tellah, Great Sage","UR","R","13938","3.09","4769","3.28","21835","77.7%","53.6%","3611","53.7%","6210","55.4%","9821","54.8%","11914","52.5%","2.3pp"
"Terra, Magical Adept","RG","M","5993","2.76","1847","2.88","5868","54.0%","53.2%","1008","53.2%","1450","55.5%","2458","54.6%","3375","52.4%","2.2pp"
"Tidus, Blitzball Star","WU","U","62728","5.35","9444","7.10","30904","56.0%","52.1%","5412","50.7%","7663","51.3%","13075","51.1%","17779","52.8%","-1.7pp"
"Ultimecia, Time Sorceress","UB","U","60639","4.81","12004","6.29","47850","67.1%","53.5%","8001","51.5%","13591","57.2%","21592","55.1%","25583","51.9%","3.2pp"
"Vivi Ornitier","UR","M","4070","1.90","2085","1.82","9825","78.4%","54.9%","1734","59.7%","2770","58.1%","4504","58.7%","5275","51.4%","7.3pp"
"The Wandering Minstrel","UG","R","21412","4.47","4683","5.41","14294","52.1%","51.9%","2494","51.2%","3994","58.7%","6488","55.8%","7652","48.2%","7.6pp"
"Yuna, Hope of Spira","WG","M","4244","2.01","2021","1.87","8430","69.3%","55.8%","1427","58.0%","2026","63.1%","3453","61.0%","4903","51.9%","9.0pp"
"Zidane, Tantalus Thief","WR","U","66513","5.37","10638","7.09","36219","56.4%","56.5%","6097","55.7%","8495","60.0%","14592","58.2%","21579","55.3%","2.9pp"
"Adventurer's Airship","","C","221710","7.96","26444","11.40","28463","17.8%","53.9%","4914","53.3%","6836","53.1%","11750","53.1%","16559","54.3%","-1.1pp"
"Aettir and Priwen","","M","9352","3.93","1117","5.67","1717","26.6%","47.4%","299","","416","","715","42.5%","974","51.1%","-8.6pp"
"Blitzball","","C","205483","6.43","26587","9.29","69242","44.2%","51.4%","12616","50.2%","17169","51.5%","29785","51.0%","38972","51.6%","-0.6pp"
"Buster Sword","","M","2591","1.15","2267","1.14","13878","98.6%","56.9%","2388","62.6%","3463","61.7%","5851","62.1%","7756","52.7%","9.4pp"
"Elixir","","U","87339","8.03","9371","11.78","3381","6.0%","47.4%","544","42.6%","930","48.8%","1474","46.5%","1840","48.0%","-1.4pp"
"Excalibur II","","R","22299","4.60","2343","7.11","2781","20.4%","48.5%","513","45.2%","615","46.8%","1128","46.1%","1552","50.4%","-4.3pp"
"Genji Glove","","R","17067","3.71","2124","5.09","6287","50.8%","51.5%","1029","46.6%","1530","50.8%","2559","49.2%","3642","53.0%","-3.8pp"
"Instant Ramen","","C","220313","7.69","24378","11.20","26761","18.4%","52.5%","4910","50.4%","6585","54.3%","11495","52.6%","14690","52.1%","0.5pp"
"Iron Giant","","C","222389","8.27","20554","12.29","10061","8.3%","48.0%","1684","42.8%","2533","48.5%","4217","46.2%","5789","49.0%","-2.8pp"
"Lion Heart","","U","63743","4.64","10223","6.51","44323","71.5%","54.6%","7521","51.3%","10873","56.3%","18394","54.3%","25267","54.6%","-0.4pp"
"Lunatic Pandora","","C","222124","8.21","22706","11.99","15165","11.2%","49.8%","2857","46.0%","3708","51.3%","6565","49.0%","8271","50.2%","-1.2pp"
"Magic Pot","","C","224127","8.62","23001","12.44","9057","6.6%","48.5%","1568","46.0%","2319","48.4%","3887","47.4%","5105","49.0%","-1.6pp"
"The Masamune","","R","17852","3.73","2396","4.97","5719","41.5%","48.3%","868","42.4%","1431","44.7%","2299","43.8%","3349","51.3%","-7.4pp"
"Monk's Fist","","C","215264","7.18","30419","10.16","82388","44.7%","55.3%","15041","54.2%","19128","54.8%","34169","54.6%","46691","55.6%","-1.0pp"
"PuPu UFO","","U","76403","5.97","9888","8.59","28347","48.2%","53.4%","5202","54.5%","7355","56.1%","12557","55.4%","15473","51.7%","3.7pp"
"The Regalia","","R","7183","1.59","4927","1.59","29031","97.4%","55.3%","5009","57.0%","7372","57.5%","12381","57.3%","16368","53.6%","3.7pp"
"Relentless X-ATM092","","U","78038","6.08","8815","9.21","20537","39.3%","52.4%","3427","48.3%","5235","55.0%","8662","52.3%","11755","52.1%","0.2pp"
"Ring of the Lucii","","U","79745","6.43","9465","9.50","17401","31.1%","52.5%","2913","50.4%","4509","55.4%","7422","53.5%","9819","51.7%","1.8pp"
"World Map","","C","215516","7.10","26491","10.31","54867","34.8%","51.9%","10383","50.6%","13584","52.3%","23967","51.5%","30306","52.2%","-0.6pp"
"Adventurer's Inn","","C","223165","8.33","23504","12.05","28704","20.4%","53.6%","4736","53.5%","7218","55.9%","11954","54.9%","16596","52.7%","2.3pp"
"Balamb Garden, SeeD Academy","","R","17147","3.40","5551","3.81","26231","77.5%","56.4%","4858","59.0%","6116","58.3%","10974","58.6%","14907","54.8%","3.8pp"
"Baron, Airship Kingdom","","C","143696","6.38","26790","8.71","108840","67.4%","54.9%","19775","56.4%","28767","54.9%","48542","55.5%","59884","54.5%","1.0pp"
"Capital City","","U","74700","5.37","12889","7.65","64570","83.2%","54.7%","11671","53.5%","16356","56.9%","28027","55.4%","36219","54.2%","1.3pp"
"Clive's Hideaway","","R","30850","6.14","3646","9.39","1731","7.9%","47.5%","306","","396","","702","47.2%","1017","47.7%","-0.5pp"
"Crossroads Village","","C","185759","5.10","36197","7.16","199676","91.7%","55.2%","37480","56.2%","49016","54.9%","86496","55.4%","112458","55.1%","0.3pp"
"Eden, Seat of the Sanctum","","U","86614","7.34","11634","10.50","28798","41.3%","54.4%","4782","53.2%","7132","56.4%","11914","55.1%","16677","53.9%","1.2pp"
"Gohn, Town of Ruin","","C","140795","6.12","25040","8.42","109796","72.7%","55.1%","19999","56.3%","25796","54.6%","45795","55.3%","63282","55.0%","0.3pp"
"The Gold Saucer","","U","86203","7.38","9432","11.02","16263","28.9%","52.4%","2790","52.0%","4142","53.5%","6932","52.9%","9242","52.1%","0.9pp"
"Gongaga, Reactor Town","","C","146450","6.67","22430","9.36","73133","54.7%","53.3%","13321","53.7%","16723","52.9%","30044","53.3%","42767","53.3%","-0.0pp"
"Guadosalam, Farplane Gateway","","C","142563","6.35","26635","8.60","104487","65.2%","54.5%","19167","55.5%","25220","55.2%","44387","55.3%","59473","53.8%","1.5pp"
"Insomnia, Crown City","","C","146931","6.55","21952","9.36","69567","52.6%","53.7%","12695","54.5%","16453","52.7%","29148","53.5%","40119","53.9%","-0.5pp"
"Ishgard, the Holy See","","R","20798","3.99","3540","5.30","15308","73.6%","53.8%","2750","53.8%","3678","53.2%","6428","53.5%","8837","54.1%","-0.7pp"
"Jidoor, Aristocratic Capital","","R","26268","5.04","3485","7.52","9195","45.5%","50.0%","1607","49.8%","2524","49.1%","4131","49.4%","5009","50.3%","-0.9pp"
"Lindblum, Industrial Regency","","R","19660","3.82","3621","4.97","16624","78.1%","53.4%","2944","51.9%","4151","53.4%","7095","52.8%","9443","53.8%","-1.1pp"
"Midgar, City of Mako","","R","18020","3.45","3909","4.39","19618","84.8%","54.0%","3472","51.9%","4856","54.6%","8328","53.5%","11127","54.3%","-0.8pp"
"Rabanastre, Royal City","","C","148677","6.82","21568","9.72","66826","51.6%","54.0%","12337","54.7%","15611","52.1%","27948","53.3%","38715","54.5%","-1.2pp"
"Sharlayan, Nation of Scholars","","C","146158","6.46","23508","9.17","82982","58.7%","53.7%","15399","54.0%","20523","53.7%","35922","53.8%","46718","53.5%","0.4pp"
"Starting Town","","R","15514","2.97","4143","3.60","23004","94.4%","53.6%","4276","56.8%","5596","53.1%","9872","54.7%","13029","52.8%","1.8pp"
"Treno, Dark City","","C","139293","5.91","27061","8.14","116269","71.4%","54.4%","21202","55.5%","30166","55.7%","51368","55.6%","64256","53.4%","2.3pp"
"Vector, Imperial Capital","","C","144527","6.40","23830","8.92","84315","59.0%","53.6%","15319","54.8%","21168","53.8%","36487","54.2%","47409","53.1%","1.1pp"
"Windurst, Federation Center","","C","146581","6.63","21311","9.41","73058","57.2%","54.1%","13376","54.5%","16893","53.5%","30269","54.0%","42464","54.1%","-0.2pp"
"Zanarkand, Ancient Metropolis","","R","14773","2.95","4535","3.33","23375","85.5%","55.3%","4172","53.1%","5762","57.8%","9934","55.9%","13212","54.8%","1.0pp"
"Adeline, Resplendent Cathar","W","R","1146","1.89","569","1.93","3116","88.0%","56.8%","567","63.1%","771","58.8%","1338","60.6%","1773","54.0%","6.6pp"
"Ranger-Captain of Eos","W","M","2285","3.43","517","3.98","1908","60.6%","58.8%","348","","421","","769","62.4%","1135","56.2%","6.2pp"
"Sram, Senior Edificer","W","R","1435","2.40","594","2.43","3123","87.7%","56.8%","545","62.6%","723","58.6%","1268","60.3%","1849","54.2%","6.1pp"
"Counterspell","U","U","20700","4.07","5160","5.06","26112","83.4%","56.0%","4460","55.9%","7400","59.9%","11860","58.4%","14090","53.9%","4.5pp"
"Urza, Lord High Artificer","U","M","1247","2.16","715","2.11","3982","89.1%","57.4%","684","66.8%","1103","64.1%","1787","65.1%","2150","50.9%","14.2pp"
"Venser, Shaper Savant","U","R","1867","2.86","709","3.11","3751","86.6%","56.0%","619","53.6%","1079","61.2%","1698","58.4%","1998","53.7%","4.7pp"
"Bolas's Citadel","B","R","2732","4.34","429","","1130","43.7%","54.4%","194","","272","","466","","647","54.4%",""
"Dark Ritual","B","R","2495","3.99","333","","875","45.4%","50.7%","142","","217","","359","","508","49.4%",""
"Fatal Push","B","U","13775","2.69","4771","3.09","26477","90.4%","56.9%","4665","58.0%","6977","60.3%","11642","59.3%","14475","54.8%","4.5pp"
"Syr Konrad, the Grim","B","U","14299","2.91","4280","3.35","22615","88.5%","54.2%","3697","51.4%","5884","57.5%","9581","55.2%","12750","53.2%","1.9pp"
"Yawgmoth, Thran Physician","B","M","1248","2.06","668","2.06","3714","89.6%","57.7%","690","62.0%","982","63.5%","1672","62.9%","2010","53.5%","9.4pp"
"Ancient Copper Dragon","R","M","1429","2.32","400","","1826","76.7%","54.2%","293","","448","","741","54.3%","1081","53.9%","0.3pp"
"Godo, Bandit Warlord","R","R","2269","3.48","516","3.93","1823","59.1%","54.2%","300","","451","","751","57.0%","1071","52.3%","4.7pp"
"Purphoros, God of the Forge","R","M","1650","2.59","394","","1325","58.4%","51.8%","229","","323","","552","49.6%","768","53.1%","-3.5pp"
"Azusa, Lost but Seeking","G","R","2953","4.67","302","","549","31.1%","49.7%","96","","134","","230","","316","",""
"Nyxbloom Ancient","G","M","2918","4.53","290","","364","21.8%","","68","","89","","157","","206","",""
"Jodah, the Unifier","WUBRG","R","3292","5.20","471","","728","26.5%","48.6%","123","","197","","320","","400","",""
"Tymna the Weaver","WB","R","2287","3.87","398","","1351","57.3%","54.2%","249","","323","","572","58.0%","776","51.5%","6.5pp"
"Winota, Joiner of Forces","WR","R","1974","3.43","528","3.97","2146","66.9%","58.6%","347","","532","66.9%","879","66.8%","1273","52.8%","14.0pp"
"Traxos, Scourge of Kroog","","R","1870","2.97","604","3.22","3119","87.1%","53.0%","536","55.2%","756","54.6%","1292","54.9%","1797","51.8%","3.1pp"
"Akroma's Will","W","M","1506","2.46","660","2.41","3576","87.2%","57.2%","604","61.9%","895","65.7%","1499","64.2%","2067","52.2%","11.9pp"
"Danitha Capashen, Paragon","W","U","14095","3.02","3393","3.46","17535","86.3%","55.7%","3101","57.3%","4060","55.8%","7161","56.5%","10375","55.0%","1.4pp"
"Kenrith, the Returned King","W","R","1020","1.91","535","1.89","2946","90.5%","54.8%","480","","765","62.4%","1245","59.1%","1679","51.4%","7.7pp"
"Loran of the Third Path","W","R","1766","2.77","507","3.14","2714","88.3%","57.7%","480","","622","62.2%","1102","59.3%","1602","56.7%","2.6pp"
"Mangara, the Diplomat","W","R","1410","2.32","428","","2160","84.0%","54.1%","378","","514","54.7%","892","53.5%","1247","54.7%","-1.2pp"
"Stroke of Midnight","W","U","21966","4.54","2060","6.93","6651","55.8%","50.8%","1128","46.8%","1573","49.7%","2701","48.5%","3933","52.5%","-4.0pp"
"Wall of Omens","W","U","24062","4.70","3589","6.40","13697","62.9%","55.7%","2479","57.6%","3389","57.5%","5868","57.6%","7775","54.2%","3.4pp"
"Brainstorm","U","U","24716","5.02","3407","7.35","9998","49.4%","53.3%","1765","52.1%","2680","55.1%","4445","53.9%","5492","52.8%","1.1pp"
"Cryptic Command","U","R","1843","2.86","709","3.13","3750","84.5%","58.7%","691","60.3%","1051","63.7%","1742","62.4%","1944","54.8%","7.6pp"
"Laboratory Maniac","U","U","32885","7.43","4050","10.85","1517","6.3%","50.4%","268","","494","","762","50.5%","744","50.1%","0.4pp"
"Rhystic Study","U","M","2305","3.74","305","","711","39.8%","46.1%","138","","191","","329","","377","",""
"Teferi, Mage of Zhalfir","U","R","2527","4.04","451","","1315","49.2%","52.5%","209","","366","","575","51.0%","736","53.5%","-2.6pp"
"Deadly Dispute","B","U","23314","4.43","4229","5.96","19828","77.8%","54.8%","3263","53.8%","5042","57.9%","8305","56.3%","11358","53.7%","2.6pp"
"Diabolic Intent","B","R","2947","4.79","295","","517","28.9%","53.4%","77","","121","","198","","316","",""
"Gix, Yawgmoth Praetor","B","M","1305","2.10","594","2.07","3160","87.0%","54.9%","548","57.7%","813","57.6%","1361","57.6%","1765","52.7%","4.9pp"
"K'rrik, Son of Yawgmoth","B","R","2651","4.30","269","","510","33.4%","44.5%","90","","119","","209","","298","",""
"Varragoth, Bloodsky Sire","B","R","1685","2.61","425","","2250","88.1%","53.9%","401","","589","56.2%","990","53.3%","1229","54.2%","-0.9pp"
"Captain Lannery Storm","R","U","18142","3.56","3879","4.45","19268","81.7%","56.0%","3508","59.0%","4810","57.1%","8318","57.9%","10881","54.6%","3.3pp"
"Light Up the Stage","R","U","27475","5.57","3829","7.91","12352","53.6%","54.7%","2097","52.6%","2944","56.8%","5041","55.0%","7257","54.3%","0.7pp"
"Lightning Bolt","R","U","12238","2.48","4874","2.69","26684","89.1%","56.8%","4710","58.3%","6756","60.5%","11466","59.6%","15035","54.6%","5.0pp"
"Mizzix's Mastery","R","R","2874","4.50","436","","1152","45.3%","53.6%","209","","327","","536","53.9%","612","53.3%","0.6pp"
"Najeela, the Blade-Blossom","R","M","2069","3.42","439","","1495","59.5%","53.2%","259","","378","","637","53.2%","854","53.0%","0.2pp"
"Ragavan, Nimble Pilferer","R","M","1158","1.79","600","1.78","3048","83.9%","57.3%","541","61.4%","773","55.9%","1314","58.1%","1718","56.5%","1.7pp"
"Carpet of Flowers","G","R","3792","6.27","391","","61","2.6%","","5","","16","","21","","40","",""
"Farseek","G","U","23577","4.66","3628","6.24","15606","73.2%","53.5%","2766","54.0%","3669","53.5%","6435","53.7%","9116","53.4%","0.3pp"
"Fynn, the Fangbearer","G","U","22925","4.55","3813","6.18","18563","81.5%","54.6%","3281","55.6%","4507","55.9%","7788","55.8%","10681","53.8%","2.0pp"
"Nature's Claim","G","U","31074","6.73","3147","10.38","3528","19.1%","51.5%","594","46.5%","866","52.5%","1460","50.1%","2058","52.4%","-2.4pp"
"Primeval Titan","G","R","1104","1.80","596","1.83","3154","88.8%","55.7%","549","56.5%","805","63.4%","1354","60.6%","1763","52.0%","8.5pp"
"Atraxa, Grand Unifier","WUBG","M","1373","2.25","704","2.07","3529","83.2%","56.4%","591","65.5%","1018","69.0%","1609","67.7%","1847","45.9%","21.8pp"
"Bruse Tarl, Boorish Herder","WR","R","1758","3.11","564","3.26","2612","75.8%","57.9%","440","","625","62.7%","1065","62.4%","1546","54.7%","7.7pp"
"Dovin's Veto","WU","U","31934","7.16","3465","10.76","2268","11.0%","49.2%","412","","592","50.8%","1004","49.5%","1261","48.9%","0.6pp"
"Inalla, Archmage Ritualist","UBR","R","3152","5.03","448","","442","16.4%","","77","","110","","187","","253","",""
"Ishai, Ojutai Dragonspeaker","WU","R","2923","4.72","378","","762","34.2%","47.5%","119","","203","","322","","434","",""
"Isshin, Two Heavens as One","WBR","R","3117","5.16","346","","246","12.0%","","44","","48","","92","","154","",""
"Kinnan, Bonder Prodigy","UG","M","3032","4.74","500","6.11","1425","47.6%","54.9%","240","","427","","667","54.4%","752","55.3%","-0.9pp"
"Kraum, Ludevic's Opus","UR","R","2052","3.33","620","3.59","2840","75.3%","55.0%","491","","765","60.5%","1256","57.8%","1572","52.7%","5.1pp"
"Muldrotha, the Gravetide","UBG","R","1755","2.99","662","3.24","3215","81.5%","53.8%","569","53.4%","902","59.6%","1471","57.2%","1692","50.2%","7.1pp"
"Thrasios, Triton Hero","UG","M","2706","4.05","599","4.94","2337","66.7%","53.6%","407","","609","55.8%","1016","54.3%","1303","53.3%","1.1pp"
"Vial Smasher the Fierce","BR","M","1732","2.80","552","2.80","2529","77.7%","53.1%","405","","640","58.6%","1045","56.6%","1454","50.7%","5.9pp"
"Yuriko, the Tiger's Shadow","UB","R","2478","3.97","525","4.85","1688","54.9%","51.7%","311","","474","","785","53.5%","884","50.0%","3.5pp"
"Chromatic Lantern","","R","2644","3.91","329","","1048","55.7%","50.8%","200","","263","","463","","576","50.5%",""
"Smuggler's Copter","","R","954","1.63","754","1.66","4695","98.4%","59.6%","860","68.3%","1177","63.0%","2037","65.2%","2478","54.3%","10.9pp"
"Strixhaven Stadium","","U","32680","7.52","3215","11.46","779","4.0%","48.8%","130","","189","","319","","455","",""
"Command Beacon","","R","4340","7.20","512","10.71","6","0.2%","","2","","0","","2","","4","",""
