"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Dwarven Castle Guard","W","C","128744","6.12","17941","8.51","64875","60.6%","55.3%","11702","54.9%","14689","53.7%","26391","54.2%","38349","56.1%","-1.9pp"
"Fate of the Sun-Cryst","W","C","106666","4.72","15253","6.66","68580","75.6%","54.5%","11520","51.8%","16445","55.4%","27965","53.9%","40412","54.8%","-0.9pp"
"From Father to Son","W","R","20871","6.39","2595","9.75","159","1.0%","","25","","35","","60","","100","",""
"G'raha Tia","W","U","31266","3.72","6553","4.57","30860","80.0%","54.3%","5084","52.2%","7485","55.1%","12569","53.9%","18251","54.5%","-0.6pp"
"Gaelicat","W","C","118515","5.57","18084","7.48","79331","72.8%","56.8%","13509","56.3%","18743","57.1%","32252","56.8%","46937","56.8%","-0.1pp"
"Machinist's Arsenal","W","R","6233","2.09","3002","2.07","16031","88.8%","56.7%","2703","57.5%","3882","60.3%","6585","59.2%","9115","54.5%","4.7pp"
"Magitek Armor","W","U","39290","4.67","8779","5.67","40345","75.7%","57.4%","6897","58.4%","9496","57.5%","16393","57.9%","23602","56.9%","1.0pp"
"Magitek Infantry","W","C","113832","5.39","23582","6.74","94345","65.5%","58.5%","16857","60.1%","18124","55.6%","34981","57.8%","57431","58.8%","-1.1pp"
"Minwu, White Mage","W","R","8474","2.77","1983","3.02","7964","69.6%","52.8%","1345","50.6%","1942","51.7%","3287","51.3%","4679","53.9%","-2.6pp"
"Moogles' Valor","W","R","7087","2.34","2906","2.36","14678","83.5%","56.4%","2481","55.6%","3458","61.0%","5939","58.8%","8698","54.7%","4.1pp"
"Paladin's Arms","W","C","114087","5.20","17862","7.12","87219","80.8%","56.6%","15492","56.4%","20157","55.9%","35649","56.2%","50540","56.7%","-0.5pp"
"Phoenix Down","W","U","47498","5.92","5867","8.51","13181","37.9%","53.4%","2186","51.1%","3079","52.9%","5265","52.1%","7322","53.5%","-1.4pp"
"Restoration Magic","W","U","41699","5.00","5962","6.85","22410","62.8%","55.9%","3711","54.8%","5340","58.7%","9051","57.1%","13313","55.1%","2.0pp"
"Sidequest: Catch a Fish","W","U","45498","5.82","5038","8.58","9187","30.9%","53.0%","1566","51.8%","2150","51.1%","3716","51.4%","5452","54.0%","-2.6pp"
"Slash of Light","W","C","117144","5.41","18290","7.37","83792","75.6%","56.5%","14133","55.7%","19471","57.4%","33604","56.7%","50033","56.3%","0.3pp"
"Snow Villiers","W","U","42553","5.23","5466","7.46","18823","58.1%","53.8%","3295","52.6%","4279","52.1%","7574","52.3%","11239","54.8%","-2.5pp"
"Stiltzkin, Moogle Merchant","W","R","13659","4.15","2375","5.46","8029","57.5%","53.8%","1441","52.7%","1883","52.4%","3324","52.5%","4662","54.7%","-2.1pp"
"Summon: Choco/Mog","W","C","119215","5.60","15741","7.88","54934","58.5%","54.6%","9364","53.0%","12310","54.1%","21674","53.6%","32931","55.2%","-1.5pp"
"Summon: Knights of Round","W","M","2071","1.46","1396","1.42","7225","86.3%","56.6%","1233","57.5%","1823","61.4%","3056","59.8%","4099","53.8%","6.1pp"
"Summon: Primal Garuda","W","U","29195","3.45","6150","4.30","30421","82.1%","55.5%","5166","54.6%","7127","56.6%","12293","55.7%","18025","55.3%","0.5pp"
"Ultima","W","R","7646","2.54","2508","2.64","9824","67.3%","53.8%","1639","52.8%","2503","57.7%","4142","55.7%","5628","52.5%","3.3pp"
"Venat, Heart of Hydaelyn","W","R","5433","1.80","2812","1.79","15018","89.1%","56.1%","2631","58.1%","3605","58.3%","6236","58.2%","8731","54.5%","3.7pp"
"Weapons Vendor","W","C","118733","5.57","19304","7.48","75718","65.0%","56.6%","12981","54.8%","17410","56.5%","30391","55.8%","45211","57.1%","-1.3pp"
"White Auracite","W","C","77106","3.44","20890","4.11","113555","89.1%","57.3%","18908","58.3%","26726","60.6%","45634","59.6%","66468","55.5%","4.2pp"
"White Mage's Staff","W","C","104747","4.63","20362","6.01","109739","88.7%","57.3%","19912","59.4%","24601","56.4%","44513","57.8%","60340","56.5%","1.3pp"
"The Wind Crystal","W","R","11277","3.68","1820","4.67","5700","54.2%","52.4%","980","50.7%","1293","54.6%","2273","52.9%","3369","51.6%","1.3pp"
"You're Not Alone","W","C","138475","7.14","18289","9.97","46421","42.3%","56.9%","7694","55.4%","10557","57.1%","18251","56.4%","28140","57.2%","-0.9pp"
"Zack Fair","W","U","31219","3.70","7133","4.44","36472","84.8%","56.7%","6528","58.3%","8273","56.8%","14801","57.5%","21526","56.2%","1.3pp"
"Astrologian's Planisphere","U","R","6360","2.18","3301","2.21","17982","91.1%","56.0%","3343","59.3%","4818","56.6%","8161","57.7%","9358","54.3%","3.4pp"
"Cargo Ship","U","U","48487","6.27","7457","8.49","19312","43.7%","53.8%","3446","54.1%","4772","54.1%","8218","54.1%","10689","53.1%","1.0pp"
"Combat Tutorial","U","C","120124","5.60","25553","7.27","113280","73.5%","57.0%","19667","57.9%","30364","60.6%","50031","59.5%","62319","54.9%","4.7pp"
"Dragoon's Wyvern","U","C","102910","4.60","29807","5.61","159499","87.4%","57.5%","28050","58.5%","43217","60.2%","71267","59.5%","86867","55.7%","3.8pp"
"Dreams of Laguna","U","C","127232","6.07","26012","8.01","112309","71.4%","57.0%","20039","56.8%","30042","60.0%","50081","58.7%","61849","55.5%","3.2pp"
"Edgar, King of Figaro","U","R","11863","3.81","2824","4.40","10371","62.8%","53.1%","1698","49.8%","2717","55.3%","4415","53.2%","5910","52.7%","0.5pp"
"Eject","U","U","35656","4.14","11749","4.83","63166","88.4%","56.8%","10481","56.2%","17415","60.9%","27896","59.1%","34649","54.7%","4.4pp"
"Ether","U","U","55035","7.73","7337","10.95","4858","11.2%","50.0%","765","46.4%","1377","51.4%","2142","49.6%","2690","50.3%","-0.7pp"
"Gogo, Master of Mimicry","U","M","4504","2.99","1358","3.30","5712","73.0%","52.0%","999","48.1%","1591","53.7%","2590","51.6%","3092","52.4%","-0.8pp"
"Ice Flan","U","C","136114","6.76","20385","9.62","56228","46.2%","54.0%","9972","51.1%","15610","55.9%","25582","54.0%","30298","54.0%","0.1pp"
"Ice Magic","U","C","110741","4.95","27757","6.28","142703","85.3%","56.6%","24806","54.5%","39381","60.9%","64187","58.4%","77209","55.0%","3.4pp"
"Il Mheg Pixie","U","U","30827","3.57","10524","4.14","57986","91.1%","56.7%","10435","59.3%","15589","58.1%","26024","58.6%","31587","55.2%","3.4pp"
"Jill, Shiva's Dominant","U","R","5151","1.74","3582","1.74","20566","93.9%","58.2%","3554","61.4%","5712","64.3%","9266","63.2%","11030","53.9%","9.3pp"
"Louisoix's Sacrifice","U","R","18755","5.74","2323","8.60","1901","13.5%","49.3%","313","","522","49.4%","835","48.5%","1061","49.9%","-1.4pp"
"The Lunar Whale","U","R","6429","2.12","4040","2.14","22654","92.9%","56.5%","3880","59.1%","6112","60.0%","9992","59.6%","12453","53.7%","6.0pp"
"Magic Damper","U","C","141652","7.66","19756","10.82","30382","25.8%","54.3%","5097","54.3%","8093","57.0%","13190","55.9%","17042","52.9%","3.0pp"
"Matoya, Archon Elder","U","R","13278","4.19","2516","5.23","6428","43.8%","51.2%","1114","48.8%","1801","52.7%","2915","51.2%","3465","50.9%","0.3pp"
"Memories Returning","U","R","8873","2.86","4184","2.97","22431","88.1%","57.3%","3871","57.4%","6058","62.2%","9929","60.3%","12369","54.7%","5.6pp"
"The Prima Vista","U","U","52044","6.95","6875","9.93","10509","25.8%","52.3%","1745","49.8%","2868","52.9%","4613","51.7%","5839","52.8%","-1.1pp"
"Qiqirn Merchant","U","C","141038","7.56","21051","10.56","40669","32.6%","53.0%","7032","51.0%","11078","54.8%","18110","53.3%","22344","52.6%","0.7pp"
"Quistis Trepe","U","U","33554","3.96","9556","4.79","48355","84.3%","55.4%","8138","52.0%","13433","59.8%","21571","56.9%","26253","54.1%","2.8pp"
"Relm's Sketching","U","U","37372","4.43","8458","5.55","38374","76.2%","54.7%","6377","52.3%","10677","58.2%","17054","56.0%","20965","53.5%","2.5pp"
"Retrieve the Esper","U","C","121177","5.67","23429","7.64","100904","72.2%","55.1%","17117","53.4%","27507","57.3%","44624","55.8%","55784","54.5%","1.3pp"
"Rook Turret","U","C","133993","6.84","17925","9.79","40712","38.6%","51.9%","6882","50.6%","10523","53.2%","17405","52.2%","23031","51.5%","0.6pp"
"Sage's Nouliths","U","C","135584","6.92","19749","9.79","49249","41.9%","53.7%","8785","53.2%","12475","53.9%","21260","53.6%","27232","53.5%","0.1pp"
"Sahagin","U","C","125629","6.29","27225","7.81","117414","71.0%","56.9%","20549","58.8%","32300","58.1%","52849","58.4%","63830","55.6%","2.7pp"
"Scorpion Sentinel","U","C","132497","6.55","23275","8.88","87982","63.1%","55.6%","15766","55.3%","23495","57.0%","39261","56.3%","47341","54.9%","1.4pp"
"Sidequest: Card Collection","U","U","48911","6.19","8858","8.19","26869","50.7%","56.4%","4593","54.5%","7538","61.6%","12131","58.9%","14524","54.3%","4.6pp"
"Sleep Magic","U","U","34769","4.05","10155","4.83","53969","87.5%","56.9%","9317","56.5%","14699","60.5%","24016","58.9%","29462","55.1%","3.8pp"
"Stolen Uniform","U","U","57476","8.50","6909","12.23","454","1.1%","","71","","121","","192","","259","",""
"Stuck in Summoner's Sanctum","U","C","107609","4.81","22650","6.43","111528","82.5%","55.3%","19007","52.2%","30546","58.6%","49553","56.1%","60949","54.4%","1.7pp"
"Summon: Leviathan","U","R","6126","2.03","3785","2.02","20420","89.6%","56.2%","3438","57.0%","5762","61.0%","9200","59.5%","10987","53.4%","6.2pp"
"Summon: Shiva","U","U","31245","3.64","9068","4.37","46426","85.7%","55.7%","7776","54.7%","12871","59.4%","20647","57.6%","25347","53.9%","3.7pp"
"Swallowed by Leviathan","U","U","44239","5.40","11878","6.38","53143","73.7%","57.6%","9056","56.6%","14838","61.9%","23894","59.9%","28845","55.4%","4.5pp"
"Syncopate","U","C","131101","6.54","23891","8.85","87536","61.0%","56.0%","14976","56.4%","24381","58.4%","39357","57.7%","47690","54.5%","3.2pp"
"Thief's Knife","U","U","36605","4.33","7355","5.63","31954","74.6%","52.8%","5605","52.7%","8443","53.2%","14048","53.0%","17568","52.4%","0.6pp"
"Travel the Overworld","U","U","46524","5.81","9905","7.23","33020","55.7%","55.2%","5462","54.2%","9101","59.9%","14563","57.8%","18250","53.0%","4.7pp"
"Ultros, Obnoxious Octopus","U","U","36215","4.27","10894","4.96","52791","80.3%","56.8%","9476","57.3%","14405","60.2%","23881","59.1%","28479","54.9%","4.2pp"
"Valkyrie Aerial Unit","U","U","42349","5.35","7259","7.12","25467","59.6%","53.5%","4167","50.1%","6658","56.0%","10825","53.7%","14432","53.2%","0.6pp"
"The Water Crystal","U","R","16344","5.14","2070","7.85","1865","15.5%","46.8%","316","","529","48.4%","845","46.6%","993","46.7%","-0.1pp"
"Y'shtola Rhul","U","M","3464","2.38","1506","2.39","6688","73.9%","54.0%","1101","54.8%","1842","57.8%","2943","56.7%","3692","51.7%","5.0pp"
"Ahriman","B","C","115185","5.21","15919","7.50","69378","73.2%","54.9%","12168","53.3%","17111","56.7%","29279","55.3%","39523","54.6%","0.7pp"
"Al Bhed Salvagers","B","U","33822","3.89","7289","4.97","36167","82.7%","55.8%","6287","54.9%","8940","58.5%","15227","57.0%","20612","54.9%","2.1pp"
"Ardyn, the Usurper","B","R","6022","2.03","3479","1.97","19674","90.2%","58.7%","3300","60.7%","5351","67.3%","8651","64.8%","10681","53.2%","11.6pp"
"Black Mage's Rod","B","C","107512","4.81","19006","6.50","89900","78.8%","55.4%","16190","55.3%","22159","56.2%","38349","55.8%","50037","54.8%","1.0pp"
"Cecil, Dark Knight","B","R","6466","2.14","2719","2.19","14028","86.9%","55.6%","2508","60.9%","3516","57.7%","6024","59.0%","7837","53.0%","6.0pp"
"Circle of Power","B","U","39264","4.67","8066","5.88","35281","72.4%","56.4%","6066","55.2%","9192","60.3%","15258","58.3%","19524","54.7%","3.6pp"
"Cornered by Black Mages","B","C","98246","4.44","20635","5.64","102643","81.9%","56.6%","17767","58.0%","26015","59.5%","43782","58.9%","57492","54.7%","4.2pp"
"Dark Confidant","B","M","3533","2.41","1337","2.49","6124","74.6%","57.0%","1144","65.2%","1551","57.6%","2695","60.8%","3363","53.6%","7.2pp"
"Dark Knight's Greatsword","B","U","40592","4.79","6845","6.48","28090","69.2%","54.8%","4880","55.1%","6964","56.0%","11844","55.7%","15949","54.2%","1.5pp"
"The Darkness Crystal","B","R","10755","3.48","1923","4.40","6901","60.7%","53.4%","1153","53.5%","1814","54.4%","2967","54.1%","3837","52.8%","1.2pp"
"Demon Wall","B","U","38344","4.39","7085","5.85","33407","79.0%","55.1%","6017","53.8%","8438","57.3%","14455","55.8%","18519","54.5%","1.4pp"
"Evil Reawakened","B","U","35657","4.23","7148","5.40","33689","78.6%","55.6%","5730","54.7%","8654","59.7%","14384","57.7%","18691","53.8%","3.9pp"
"Fang, Fearless l'Cie","B","U","38477","4.55","7215","5.93","25777","60.6%","53.7%","4575","51.5%","6461","53.4%","11036","52.6%","14518","54.4%","-1.8pp"
"Fight On!","B","C","132940","6.55","19289","9.24","60012","52.3%","54.8%","9904","50.2%","15363","57.8%","25267","54.8%","33955","54.8%","0.1pp"
"The Final Days","B","U","34858","4.15","7266","5.24","32488","74.3%","56.2%","5513","54.6%","8071","58.5%","13584","56.9%","18696","55.6%","1.3pp"
"Gaius van Baelsar","B","U","34583","3.98","6666","5.18","31654","80.0%","54.8%","5233","54.1%","7991","57.2%","13224","56.0%","18077","53.8%","2.1pp"
"Hecteyes","B","C","115895","5.19","22332","6.96","109872","81.7%","56.2%","19580","56.6%","27435","57.3%","47015","57.0%","62017","55.6%","1.4pp"
"Jecht, Reluctant Guardian","B","R","4652","1.58","2962","1.56","16331","92.2%","55.6%","2769","57.0%","4348","58.8%","7117","58.1%","9054","53.6%","4.5pp"
"Kain, Traitorous Dragoon","B","R","14707","4.50","1876","6.64","3707","33.8%","50.7%","667","48.0%","941","53.7%","1608","51.3%","2073","50.3%","1.0pp"
"Malboro","B","C","125803","5.87","19258","8.30","78560","67.6%","56.0%","14130","54.7%","20029","59.0%","34159","57.2%","43589","55.0%","2.2pp"
"Namazu Trader","B","C","134075","6.74","17746","9.67","46283","43.7%","54.4%","7750","54.2%","11616","56.0%","19366","55.3%","26596","53.8%","1.5pp"
"Ninja's Blades","B","R","6826","2.23","2595","2.35","13469","87.2%","55.5%","2301","59.2%","3352","57.8%","5653","58.4%","7606","53.1%","5.3pp"
"Overkill","B","U","20278","2.39","8607","2.68","48858","93.1%","56.7%","8332","57.2%","12828","61.6%","21160","59.9%","26970","54.2%","5.7pp"
"Phantom Train","B","U","50553","6.52","7034","9.11","14056","33.4%","55.1%","2216","52.3%","3504","57.6%","5720","55.6%","8215","54.6%","1.0pp"
"Poison the Waters","B","U","48237","5.91","6277","8.62","13847","37.2%","53.7%","2392","52.4%","3523","54.4%","5915","53.6%","7835","53.6%","-0.0pp"
"Qutrub Forayer","B","C","140256","7.39","15022","11.02","15323","17.1%","51.9%","2544","50.6%","3717","52.6%","6261","51.8%","8985","51.9%","-0.1pp"
"Reno and Rude","B","U","36759","4.27","6697","5.63","30642","77.4%","54.1%","5401","55.2%","7341","53.7%","12742","54.3%","17761","54.0%","0.3pp"
"Resentful Revelation","B","C","128473","6.20","22247","8.35","85674","63.8%","57.0%","15492","57.5%","21345","59.8%","36837","58.8%","48432","55.5%","3.3pp"
"Sephiroth, Fabled SOLDIER","B","M","1925","1.32","1486","1.30","8351","91.4%","57.6%","1448","62.2%","2164","64.8%","3612","63.8%","4625","52.6%","11.2pp"
"Sephiroth's Intervention","B","C","68295","3.05","22029","3.65","124901","93.1%","56.6%","21334","56.1%","32605","61.7%","53939","59.5%","69100","54.2%","5.3pp"
"Shambling Cie'th","B","U","43399","5.14","6420","7.18","23830","63.6%","53.5%","4307","52.3%","5694","52.7%","10001","52.5%","13802","54.3%","-1.8pp"
"Shinra Reinforcements","B","C","135147","6.88","21793","9.28","68428","51.9%","56.6%","12159","57.1%","16814","58.3%","28973","57.8%","38770","55.7%","2.0pp"
"Sidequest: Hunt the Mark","B","U","24767","2.95","8966","3.32","49795","90.8%","57.4%","8568","58.4%","12945","62.6%","21513","60.9%","27474","54.5%","6.4pp"
"Summon: Anima","B","U","34895","4.10","6819","5.29","30365","75.4%","53.5%","5098","49.7%","7705","55.9%","12803","53.4%","17297","53.6%","-0.2pp"
"Summon: Primal Odin","B","R","4784","1.59","3211","1.57","18412","92.1%","58.5%","3093","61.2%","4748","65.9%","7841","64.1%","10218","53.9%","10.2pp"
"Tonberry","B","U","39440","4.67","6199","6.39","24630","66.9%","54.4%","4375","58.5%","5898","53.2%","10273","55.4%","14241","53.7%","1.7pp"
"Undercity Dire Rat","B","C","121726","5.54","19021","7.76","85794","75.4%","55.4%","15547","56.7%","20871","55.7%","36418","56.1%","48970","54.8%","1.3pp"
"Vayne's Treachery","B","C","85211","3.74","23243","4.63","127926","90.7%","56.5%","22280","56.1%","32944","59.7%","55224","58.2%","71094","55.2%","3.1pp"
"Vincent Valentine","B","R","5036","1.72","2809","1.72","15065","89.1%","56.2%","2546","57.2%","3933","59.9%","6479","58.9%","8405","53.9%","4.9pp"
"Vincent's Limit Break","B","C","136055","7.06","15813","10.43","24813","26.3%","52.6%","4058","50.0%","6121","53.9%","10179","52.3%","14480","52.8%","-0.4pp"
"Zenos yae Galvus","B","R","5393","1.82","3105","1.82","16578","89.0%","56.3%","2758","58.8%","4452","60.3%","7210","59.8%","9111","53.4%","6.4pp"
"Zodiark, Umbral God","B","R","12159","3.87","2049","5.00","6187","51.9%","52.4%","1057","52.0%","1576","56.9%","2633","54.9%","3460","50.3%","4.6pp"
"Barret Wallace","R","U","45568","5.72","5307","8.37","13995","44.9%","52.8%","2448","51.3%","3287","52.9%","5735","52.2%","8264","53.2%","-1.0pp"
"Blazing Bomb","R","C","135404","6.93","18147","9.60","48143","44.5%","55.8%","8502","57.6%","12532","55.9%","21034","56.6%","26978","55.2%","1.4pp"
"Call the Mountain Chocobo","R","C","116216","5.44","20980","7.22","87704","69.6%","56.3%","14969","55.9%","22054","58.9%","37023","57.7%","50365","55.2%","2.4pp"
"Choco-Comet","R","U","26901","3.21","9397","3.56","50433","87.3%","57.9%","8421","58.4%","12937","63.8%","21358","61.6%","28740","55.1%","6.6pp"
"Clive, Ifrit's Dominant","R","M","2438","1.67","1391","1.67","7257","87.7%","54.9%","1196","55.4%","1830","57.5%","3026","56.7%","4200","53.5%","3.2pp"
"Coral Sword","R","U","46597","5.78","5839","8.30","16328","47.5%","54.2%","2661","53.2%","3787","54.2%","6448","53.8%","9518","53.9%","-0.2pp"
"The Fire Crystal","R","R","13869","4.49","1547","6.93","1638","18.6%","46.2%","282","","390","","672","42.6%","958","48.6%","-6.1pp"
"Fire Magic","R","U","37626","4.52","6246","5.95","22624","61.8%","54.3%","3934","53.3%","5927","59.2%","9861","56.8%","12663","52.3%","4.5pp"
"Firion, Wild Rose Warrior","R","R","7638","2.61","2333","2.66","10520","75.2%","55.5%","1821","57.6%","2503","55.5%","4324","56.3%","6193","54.8%","1.5pp"
"Freya Crescent","R","U","44391","5.55","5929","7.59","18899","53.8%","54.9%","3303","57.8%","4275","51.3%","7578","54.1%","11292","55.5%","-1.3pp"
"Gilgamesh, Master-at-Arms","R","R","8381","2.83","2715","2.87","10865","67.0%","56.0%","1783","58.3%","2566","59.7%","4349","59.1%","6504","53.8%","5.3pp"
"Haste Magic","R","C","141195","7.75","14789","11.46","13298","15.1%","51.2%","2200","49.7%","3232","51.5%","5432","50.8%","7856","51.5%","-0.7pp"
"Hill Gigas","R","C","136973","6.89","15762","10.12","36851","39.5%","52.3%","6497","49.5%","9089","52.6%","15586","51.3%","21163","53.0%","-1.6pp"
"Item Shopkeep","R","C","138596","7.55","16204","10.78","30142","31.2%","53.9%","5415","52.8%","6830","52.4%","12245","52.6%","17869","54.8%","-2.2pp"
"Laughing Mad","R","C","140817","7.61","16819","10.93","28336","28.4%","53.5%","4929","51.4%","7048","54.5%","11977","53.2%","16296","53.6%","-0.3pp"
"Light of Judgment","R","C","125729","5.96","16772","8.56","59257","59.8%","53.5%","9811","50.4%","15335","55.4%","25146","53.5%","33838","53.4%","0.1pp"
"Mysidian Elder","R","C","124229","6.11","16265","8.61","54322","56.4%","53.1%","9478","51.2%","13607","53.0%","23085","52.3%","30935","53.6%","-1.4pp"
"Nibelheim Aflame","R","M","2885","1.98","1607","1.87","8456","84.7%","58.6%","1474","62.8%","2199","65.8%","3673","64.6%","4737","53.7%","10.9pp"
"Opera Love Song","R","U","50554","6.35","6040","9.27","12923","35.7%","54.5%","2253","51.0%","3096","55.5%","5349","53.6%","7532","55.2%","-1.6pp"
"Prompto Argentum","R","U","40350","4.68","7256","6.19","33538","76.5%","55.5%","6088","57.4%","8351","55.5%","14439","56.3%","19029","54.9%","1.4pp"
"Queen Brahne","R","U","34431","4.13","6163","5.31","27459","76.4%","53.5%","4907","54.9%","6892","52.2%","11799","53.3%","15548","53.6%","-0.3pp"
"Random Encounter","R","U","55894","7.93","6108","11.71","1455","4.0%","47.1%","237","","352","","589","47.7%","864","46.8%","0.9pp"
"Raubahn, Bull of Ala Mhigo","R","R","9222","3.02","2168","3.39","9041","72.9%","53.1%","1674","53.5%","2117","51.9%","3791","52.6%","5239","53.4%","-0.8pp"
"Red Mage's Rapier","R","C","128791","6.48","15589","9.29","45793","49.9%","52.7%","8245","51.0%","10855","51.5%","19100","51.3%","26199","53.6%","-2.3pp"
"Sabotender","R","C","128558","6.60","13357","9.85","30804","39.2%","52.3%","5454","52.7%","7170","50.6%","12624","51.5%","18103","52.8%","-1.3pp"
"Samurai's Katana","R","U","29191","3.43","8843","3.93","46870","85.7%","58.4%","8430","61.4%","11254","60.9%","19684","61.1%","26715","56.2%","4.9pp"
"Sandworm","R","U","47566","5.85","6565","8.33","17833","46.1%","52.9%","2983","49.9%","4357","53.9%","7340","52.3%","10464","53.3%","-1.0pp"
"Seifer Almasy","R","R","5530","1.86","2990","1.82","15987","89.0%","56.5%","2789","58.2%","4105","60.5%","6894","59.6%","9036","53.9%","5.7pp"
"Self-Destruct","R","U","51250","6.71","5681","10.00","7032","21.1%","51.3%","1176","46.7%","1678","53.2%","2854","50.5%","4163","51.8%","-1.3pp"
"Sidequest: Play Blitzball","R","U","48381","6.33","4954","9.58","7529","26.1%","51.6%","1285","49.3%","1739","48.1%","3024","48.6%","4500","53.6%","-5.0pp"
"Sorceress's Schemes","R","U","53244","7.10","8005","9.58","16682","35.0%","56.9%","2764","54.6%","4474","61.4%","7238","58.8%","9357","55.3%","3.5pp"
"Summon: Brynhildr","R","R","8845","2.88","2533","3.12","11175","76.9%","53.0%","2029","50.4%","2756","55.4%","4785","53.3%","6347","52.7%","0.5pp"
"Summon: Esper Ramuh","R","U","41254","4.90","6927","6.40","25525","62.6%","53.7%","4276","50.1%","6828","55.3%","11104","53.3%","14185","53.9%","-0.7pp"
"Summon: G.F. Cerberus","R","R","7781","2.58","2805","2.68","13101","80.4%","52.5%","2261","51.6%","3385","53.2%","5646","52.6%","7405","52.5%","0.1pp"
"Summon: G.F. Ifrit","R","C","125828","6.03","16310","8.52","52174","54.4%","52.6%","9125","49.8%","12858","52.4%","21983","51.3%","30024","53.6%","-2.3pp"
"Suplex","R","C","84024","3.74","20069","4.69","107145","88.9%","55.9%","18786","54.8%","26876","58.5%","45662","57.0%","60839","55.0%","1.9pp"
"Thunder Magic","R","C","76420","3.42","23427","4.06","128098","90.0%","56.8%","22399","57.2%","32322","60.3%","54721","59.1%","72511","55.1%","3.9pp"
"Triple Triad","R","R","17074","5.40","2289","7.83","3428","25.6%","51.7%","594","46.6%","858","52.9%","1452","50.3%","1967","52.7%","-2.3pp"
"Unexpected Request","R","U","52680","6.93","5812","10.32","6703","19.5%","51.7%","1117","49.1%","1568","53.3%","2685","51.5%","3986","51.7%","-0.2pp"
"Vaan, Street Thief","R","R","10737","3.44","1901","4.28","6278","58.3%","49.6%","1066","42.6%","1593","48.3%","2659","46.0%","3610","52.4%","-6.4pp"
"Warrior's Sword","R","C","126031","6.07","18466","8.44","72115","65.4%","55.1%","12155","54.1%","17894","56.1%","30049","55.3%","41454","54.9%","0.3pp"
"Zell Dincht","R","R","9700","3.15","2198","3.59","9073","70.7%","54.3%","1582","57.8%","2092","55.2%","3674","56.3%","5374","52.9%","3.4pp"
"Airship Crash","G","C","138641","7.29","15477","10.73","28104","30.6%","53.2%","4778","50.1%","6822","55.2%","11600","53.1%","16397","53.1%","0.0pp"
