"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Summon: Bahamut","","M","2014","1.38","1438","1.37","7649","88.6%","55.4%","1220","51.9%","2092","61.0%","3312","57.6%","4259","53.7%","4.0pp"
"Ultima, Origin of Oblivion","","R","6107","2.04","2167","2.09","11305","90.0%","53.1%","1809","50.9%","2946","55.1%","4755","53.5%","6492","52.7%","0.8pp"
"Adelbert Steiner","W","U","27193","3.26","7244","3.80","38418","87.3%","57.3%","6973","58.6%","8883","57.8%","15856","58.2%","22525","56.7%","1.5pp"
"Aerith Gainsborough","W","R","6417","2.12","2243","2.24","10940","83.2%","54.8%","1951","57.8%","2603","55.3%","4554","56.4%","6369","53.7%","2.6pp"
"Aerith Rescue Mission","W","C","132683","6.58","16824","9.35","41430","41.0%","54.8%","6872","51.7%","9644","55.6%","16516","54.0%","24842","55.3%","-1.3pp"
"Ambrosia Whiteheart","W","U","29407","3.43","7470","4.10","39174","87.3%","56.1%","7080","56.4%","8946","56.7%","16026","56.6%","22901","55.8%","0.8pp"
"Ashe, Princess of Dalmasca","W","U","34258","4.13","6128","5.28","27596","76.2%","55.1%","4977","54.7%","6353","53.5%","11330","54.0%","16240","55.8%","-1.8pp"
"Auron's Inspiration","W","U","52202","6.86","6396","9.79","10626","28.0%","53.7%","1836","50.8%","2372","50.5%","4208","50.6%","6405","55.7%","-5.1pp"
"Battle Menu","W","U","28177","3.24","7622","3.90","41392","89.6%","57.4%","7355","57.2%","9674","60.0%","17029","58.8%","24263","56.4%","2.5pp"
"Cloud, Midgar Mercenary","W","M","2598","1.74","1259","1.72","6050","81.2%","56.3%","1060","58.9%","1435","58.3%","2495","58.5%","3538","54.9%","3.7pp"
"Cloudbound Moogle","W","C","136369","6.87","14534","10.22","25171","29.1%","53.2%","4352","49.4%","5921","53.7%","10273","51.9%","14861","54.1%","-2.2pp"
"Coeurl","W","C","134550","6.77","15844","9.82","38227","40.5%","54.3%","6922","53.8%","8703","53.4%","15625","53.6%","22537","54.7%","-1.2pp"
"Crystal Fragments","W","U","40638","4.96","5720","6.79","20875","62.2%","54.0%","3672","52.2%","4696","52.4%","8368","52.4%","11622","54.6%","-2.2pp"
"The Crystal's Chosen","W","U","38375","4.72","7651","5.89","29933","66.3%","54.4%","4834","52.8%","7205","57.1%","12039","55.3%","17816","53.7%","1.7pp"
"Delivery Moogle","W","U","32535","3.85","8988","4.48","44895","81.5%","58.2%","7603","58.9%","10686","60.8%","18289","60.0%","26490","57.0%","3.0pp"
"Dion, Bahamut's Dominant","W","R","4149","1.41","3254","1.38","19024","93.8%","58.8%","3382","64.3%","4651","66.4%","8033","65.5%","10873","54.0%","11.5pp"
"Dragoon's Lance","W","U","24741","2.89","8871","3.21","50280","91.0%","58.9%","9233","63.3%","11082","60.4%","20315","61.7%","26644","55.6%","6.1pp"
