"Name","Color","Rarity","# GIH","GIH WR"
"Clive, Ifrit's Dominant","R","M","2703","57.1%"
"Coral Sword","R","U","5731","53.9%"
"The Fire Crystal","R","R","631","42.6%"
"Fire Magic","R","U","8555","56.8%"
"Firion, Wild Rose Warrior","R","R","3867","56.2%"
"Freya Crescent","R","U","6791","54.3%"
"Gilgamesh, Master-at-Arms","R","R","3858","59.3%"
"Haste Magic","R","C","4925","50.6%"
"Hill Gigas","R","C","14016","51.7%"
"Item Shopkeep","R","C","10989","52.7%"
"Laughing Mad","R","C","10592","53.3%"
"Light of Judgment","R","C","22167","53.3%"
"Mysidian Elder","R","C","20681","52.4%"
"Nibelheim Aflame","R","M","3166","65.0%"
"Opera Love Song","R","U","4845","53.4%"
"Prompto Argentum","R","U","12764","56.4%"
"Queen Brahne","R","U","10605","53.3%"
"Random Encounter","R","U","533","46.9%"
"Raubahn, Bull of Ala Mhigo","R","R","3378","52.6%"
"Red Mage's Rapier","R","C","17291","51.1%"
"Sabotender","R","C","11227","51.5%"
"Samurai's Katana","R","U","17310","61.4%"
"Sandworm","R","U","6644","52.2%"
"Seifer Almasy","R","R","6105","59.8%"
"Self-Destruct","R","U","2484","50.9%"
"Sidequest: Play Blitzball","R","U","2746","48.5%"
"Sorceress's Schemes","R","U","5953","59.0%"
"Summon: Brynhildr","R","R","4288","53.3%"
"Summon: Esper Ramuh","R","U","9814","53.4%"
"Summon: G.F. Cerberus","R","R","5076","52.7%"
"Summon: G.F. Ifrit","R","C","19999","51.4%"
"Suplex","R","C","40649","57.0%"
"Thunder Magic","R","C","48141","59.1%"
"Triple Triad","R","R","1285","50.7%"
"Unexpected Request","R","U","2411","51.3%"
"Vaan, Street Thief","R","R","2442","46.5%"
"Warrior's Sword","R","C","26547","55.4%"
"Zell Dincht","R","R","3245","56.1%"
"Airship Crash","G","C","10335","53.2%"
"Ancient Adamantoise","G","M","2231","57.9%"
"Balamb T-Rexaur","G","C","38258","56.4%"
"Bard's Bow","G","C","25635","55.7%"
"Bartz and Boko","G","R","3612","55.7%"
"Blitzball Shot","G","C","10890","54.2%"
"Cactuar","G","U","2485","51.4%"
"Chocobo Kick","G","C","39522","57.6%"
"Chocobo Racetrack","G","U","8056","51.4%"
"Clash of the Eikons","G","U","9617","54.0%"
"Coliseum Behemoth","G","U","14241","58.7%"
"Commune with Beavers","G","C","10914","54.1%"
"Diamond Weapon","G","U","10078","55.3%"
"The Earth Crystal","G","R","2352","49.2%"
"Esper Origins","G","R","6495","63.8%"
"Galuf's Final Act","G","U","2097","45.4%"
